"County","total_pop"
"Anderson",10725
"Andrews",5739
"Angelina",21879
"Aransas",4393
"Archer",1993
"Armstrong",392
"Atascosa",13333
"Austin",7385
"Bailey",2002
"Bandera",3615
"Bastrop",26827
"Baylor",811
"Bee",6438
"Bell",102625
"Bexar",519206
"Blanco",2128
"Borden",113
"Bosque",3879
"Bowie",20910
"Brazoria",97517
"Brazos",50684
"Brewster",1747
"Briscoe",300
"Brooks",1877
"Brown",8013
"Burleson",4177
"Burnet",11064
"Caldwell",10896
"Calhoun",4609
"Callahan",2895
"Cameron",122873
"Camp",3328
"Carson",1321
"Cass",6172
"Castro",2074
"Chambers",14280
"Cherokee",12718
"Childress",1199
"Clay",2000
"Cochran",670
"Coke",709
"Coleman",1585
"Collin",280692
"Collingsworth",674
"Colorado",5013
"Comal",39701
"Comanche",3120
"Concho",567
"Cooke",10122
"Coryell",19288
"Cottle",260
"Crane",1332
"Crockett",732
"Crosby",1210
"Culberson",524
"Dallam",2303
"Dallas",658645
"Dawson",3033
"DeWitt",4412
"Deaf Smith",5694
"Delta",1246
"Denton",225011
"Dickens",250
"Dimmit",2305
"Donley",658
"Duval",2577
"Eastland",3663
"Ector",50473
"Edwards",304
"El Paso",229461
"Ellis",54510
"Erath",9341
"Falls",3617
"Fannin",7623
"Fayette",5109
"Fisher",790
"Floyd",1345
"Foard",196
"Fort Bend",226770
"Franklin",2444
"Freestone",4515
"Frio",4134
"Gaines",8021
"Galveston",83036
"Garza",857
"Gillespie",5405
"Glasscock",280
"Goliad",1421
"Gonzales",5089
"Gray",5014
"Grayson",33912
"Gregg",31223
"Grimes",6854
"Guadalupe",44530
"Hale",8306
"Hall",607
"Hamilton",1825
"Hansford",1470
"Hardeman",769
"Hardin",13520
"Harris",1234815
"Harrison",16678
"Hartley",1081
"Haskell",922
"Hays",62634
"Hemphill",951
"Henderson",17575
"Hidalgo",279592
"Hill",8634
"Hockley",5506
"Hood",13285
"Hopkins",8974
"Houston",4396
"Howard",7271
"Hudspeth",698
"Hunt",26167
"Hutchinson",4813
"Irion",349
"Jack",1894
"Jackson",3889
"Jasper",7564
"Jeff Davis",86
"Jefferson",60546
"Jim Hogg",1360
"Jim Wells",10617
"Johnson",51372
"Jones",3512
"Karnes",3254
"Kaufman",47429
"Kendall",11122
"Kenedy",63
"Kent",192
"Kerr",10356
"Kimble",857
"King",70
"Kinney",624
"Kleberg",7597
"Knox",860
"La Salle",1256
"Lamar",12045
"Lamb",3441
"Lampasas",4846
"Lavaca",4718
"Lee",3891
"Leon",3642
"Liberty",28019
"Limestone",4848
"Lipscomb",705
"Live Oak",2354
"Llano",3397
"Loving",16
"Lubbock",75453
"Lynn",1564
"Madison",2835
"Marion",1716
"Martin",1612
"Mason",798
"Matagorda",9330
"Maverick",18174
"McCulloch",1572
"McLennan",62751
"McMullen",111
"Medina",12063
"Menard",381
"Midland",50839
"Milam",5943
"Mills",978
"Mitchell",1970
"Montague",4677
"Montgomery",174464
"Moore",6525
"Morris",2721
"Motley",209
"Nacogdoches",15447
"Navarro",14295
"Newton",2150
"Nolan",3536
"Nueces",85258
"Ochiltree",2933
"Oldham",412
"Orange",20447
"Palo Pinto",6784
"Panola",5085
"Parker",40571
"Parmer",2592
"Pecos",3664
"Polk",10169
"Potter",30230
"Presidio",1676
"Rains",2527
"Randall",35144
"Reagan",918
"Real",485
"Red River",2255
"Reeves",3327
"Refugio",1537
"Roberts",187
"Robertson",3916
"Rockwall",31971
"Runnels",2283
"Rusk",11266
"Sabine",1790
"San Augustine",1570
"San Jacinto",6183
"San Patricio",17872
"San Saba",1127
"Schleicher",551
"Scurry",4036
"Shackelford",732
"Shelby",6174
"Sherman",730
"Smith",58238
"Somervell",2057
"Starr",21169
"Stephens",1986
"Sterling",387
"Stonewall",267
"Sutton",765
"Swisher",1609
"Tarrant",542054
"Taylor",36711
"Terrell",119
"Terry",3064
"Throckmorton",328
"Titus",8907
"Tom Green",28832
"Travis",283947
"Trinity",2751
"Tyler",3769
"Upshur",9884
"Upton",890
"Uvalde",6680
"Val Verde",13472
"Van Zandt",13803
"Victoria",22744
"Walker",12872
"Waller",14843
"Ward",3340
"Washington",7719
"Webb",84972
"Wharton",10622
"Wheeler",1210
"Wichita",29115
"Wilbarger",2656
"Willacy",4610
"Williamson",164042
"Wilson",12006
"Winkler",2153
"Wise",18004
"Wood",8814
"Yoakum",2499
"Young",4259
"Zapata",4304
"Zavala",2696
