"Region","estimate_total","child_region_pop","percent_pov"
"Alamo",132766,725607,18.297232523942
"Capitol",63648,573935,11.0897575509422
"Central Texas",58949,304703,19.3463799174934
"Gulf Coast",360412,1918966,18.7815729929556
"High Plains",41316,217274,19.0156208289993
"Metroplex",301659,2073845,14.5458797547551
"Northwest",22335,126031,17.7218303433282
"South Texas",238339,705570,33.7796391569936
"Southeast",43828,178355,24.5734630372011
"Upper East",55988,269254,20.7937486536876
"Upper Rio Grande",62438,234192,26.6610302657648
"West Texas",31335,179640,17.4432197728791
